system,pattern_id,chain_len,chain,closed_form,observed,abs_drift
kndb,65,2,0.869;0.920,0.7994800000000001,0.7994800000000001,0.0
kndb,66,2,0.367;0.938,0.344246,0.34424599999999994,5.551115123125783e-17
kndb,67,4,0.440;0.595;0.424;0.880,0.09768281599999999,0.09768281599999998,1.3877787807814457e-17
kndb,68,4,0.694;0.503;0.500;0.657,0.114673437,0.11467343700000004,4.163336342344337e-17
kndb,69,3,0.839;0.426;0.455,0.16262337,0.16262337,0.0
kndb,70,4,0.777;0.575;0.636;0.370,0.105135093,0.10513509300000001,1.3877787807814457e-17
kndb,71,2,0.404;0.386,0.15594400000000003,0.15594400000000003,0.0
kndb,72,3,0.639;0.947;0.369,0.223294077,0.22329407699999998,2.7755575615628914e-17
kndb,73,2,0.400;0.803,0.32120000000000004,0.32120000000000004,0.0
kndb,74,4,0.324;0.578;0.895;0.796,0.13341631824,0.13341631824,0.0
kndb,75,4,0.578;0.811;0.945;0.795,0.35216616645,0.35216616645000004,5.551115123125783e-17
kndb,76,2,0.705;0.467,0.329235,0.329235,0.0
kndb,77,2,0.620;0.704,0.43648,0.43648,0.0
kndb,78,3,0.416;0.604;0.860,0.21608703999999998,0.21608703999999995,2.7755575615628914e-17
kndb,79,4,0.329;0.807;0.673;0.848,0.15152362411200004,0.15152362411200002,2.7755575615628914e-17
kndb,80,2,0.473;0.839,0.39684699999999995,0.39684699999999995,0.0
kndb,81,3,0.335;0.806;0.887,0.23949887000000003,0.23949887000000003,0.0
kndb,82,3,0.426;0.893;0.648,0.246510864,0.24651086400000002,2.7755575615628914e-17
kndb,83,2,0.474;0.612,0.29008799999999996,0.290088,5.551115123125783e-17
kndb,84,2,0.334;0.326,0.10888400000000001,0.10888400000000001,0.0
kndb,85,4,0.769;0.802;0.779;0.549,0.263760957198,0.2637609571980001,5.551115123125783e-17
kndb,86,3,0.696;0.559;0.382,0.14862244800000002,0.14862244800000002,0.0
kndb,87,3,0.734;0.745;0.728,0.39809224000000004,0.39809224,5.551115123125783e-17
kndb,88,4,0.498;0.587;0.435;0.479,0.06091050698999999,0.060910506989999974,1.3877787807814457e-17
kndb,89,3,0.854;0.402;0.527,0.180923316,0.18092331599999997,2.7755575615628914e-17
kndb,90,3,0.816;0.965;0.450,0.354348,0.354348,0.0
kndb,91,4,0.533;0.756;0.620;0.480,0.1199173248,0.11991732480000006,5.551115123125783e-17
kndb,92,2,0.655;0.525,0.34387500000000004,0.34387500000000004,0.0
kndb,93,4,0.959;0.302;0.673;0.410,0.07991429473999999,0.07991429473999999,0.0
kndb,94,2,0.759;0.395,0.29980500000000004,0.29980500000000004,0.0
kndb,95,3,0.814;0.673;0.534,0.292536948,0.2925369480000001,5.551115123125783e-17
kndb,96,2,0.555;0.602,0.33411,0.33411,0.0
kndb,97,4,0.825;0.309;0.350;0.446,0.03979379249999999,0.03979379249999999,0.0
kndb,98,2,0.488;0.733,0.35770399999999997,0.35770399999999997,0.0
kndb,99,3,0.809;0.878;0.607,0.43115331400000007,0.431153314,5.551115123125783e-17
pg_naive,0,3,0.910;0.825;0.952,0.714714,0.825,0.110286
pg_naive,1,3,0.320;0.748;0.878,0.21015808000000002,0.32,0.10984191999999998
pg_naive,2,4,0.621;0.671;0.885;0.317,0.11690057659500001,0.317,0.20009942340499998
pg_naive,3,3,0.970;0.726;0.694,0.4887286799999999,0.694,0.20527132000000003
pg_naive,4,4,0.481;0.343;0.537;0.443,0.03924797085300001,0.343,0.303752029147
pg_naive,5,4,0.879;0.668;0.337;0.723,0.143065044972,0.337,0.193934955028
pg_naive,6,3,0.867;0.775;0.889,0.597341325,0.775,0.177658675
pg_naive,7,3,0.885;0.936;0.663,0.54920268,0.663,0.11379731999999998
pg_naive,8,4,0.429;0.756;0.736;0.611,0.145847205504,0.429,0.283152794496
pg_naive,9,2,0.633;0.905,0.5728650000000001,0.633,0.06013499999999994
pg_naive,10,2,0.649;0.763,0.49518700000000004,0.649,0.15381299999999998
pg_naive,11,4,0.363;0.414;0.784;0.804,0.09472815475200001,0.363,0.26827184524799996
pg_naive,12,4,0.929;0.409;0.731;0.648,0.17998296616799997,0.409,0.229017033832
pg_naive,13,2,0.640;0.824,0.5273599999999999,0.64,0.11264000000000007
pg_naive,14,3,0.744;0.349;0.964,0.250308384,0.349,0.09869161599999998
pg_naive,15,4,0.493;0.526;0.339;0.641,0.056349542082000006,0.339,0.28265045791800003
pg_naive,16,3,0.694;0.661;0.565,0.25918471,0.565,0.30581528999999996
pg_naive,17,4,0.974;0.678;0.589;0.542,0.210815836536,0.542,0.33118416346400004
pg_naive,18,3,0.683;0.869;0.696,0.413094792,0.683,0.26990520800000006
pg_naive,19,3,0.796;0.964;0.731,0.560928464,0.731,0.17007153600000002
