seed_rep,p50_us,p95_us,p99_us,throughput_rps
0,58.16691555082798,75.9959570132196,148.2919231057167,15327.481239068287
1,56.4999645575881,73.58100265264511,149.16556887328625,15686.32987059171
2,57.12499842047691,73.95590655505657,149.83211178332567,15598.462331896979
3,57.43757355958223,73.83109768852592,148.70550017803907,15519.836954773515
4,61.72945722937584,77.66485214233398,151.70852420851588,14810.497827002386
5,56.104501709342,74.58104519173503,150.32940544188023,15656.78450245126
6,55.625103414058685,72.75001844391227,148.49967323243618,15795.598633955631
7,55.999960750341415,74.16699081659317,149.0392885170877,15714.301425048025
8,56.58355075865984,73.53979162871838,150.4097948782146,15697.697909699755
9,55.58389239013195,73.03878664970398,148.8339528441429,15792.308008331618

mean,57.085591834038496,74.3105448782444,149.48157430626452,15559.929870281916
